lev,roa,size,mb,bign,loss,salesgrowth,fraud_year_tplus1,cash
0.3695,0.0059,6.4884,0.9162,0,0,-0.0278,0,0.107
0.3112,0.0594,4.4692,1.3358,1,0,-0.0043,0,0.0908
0.1793,0.0853,8.6758,2.798,1,0,-0.0316,0,0.0092
0.3704,0.1175,9.3426,3.1365,1,0,0.1521,0,0.0071
0.3568,0.0234,8.7795,1.2776,1,0,-0.1266,0,0.0337
0.0682,0.0965,5.0251,1.5094,1,0,0.0255,0,0.0104
0,0.1015,6.5789,1.8614,1,0,0.1189,0,0.0276
0.1134,0.0546,6.878,1.4129,1,0,-0.0391,0,0.0225
0.2832,0.1123,5.5874,2.1012,1,0,0.0489,0,0.0998
0.1836,0.133,6.1458,2.9015,1,0,0.1258,0,0.0863
0.076,0.1379,3.6546,2.266,1,0,0.0789,0,0.1923
0,0.0582,4.1348,0.7782,1,0,0.0175,0,0.3843
0,0.0197,3.917,0.6739,1,0,0.179,0,0.2186
0.1639,0.0766,3.3734,1.1229,0,0,0.2214,0,0.0627
0.3224,0.0613,8.9543,1.7031,1,0,0.0316,0,0.0036
0.3148,0.0406,8.738,1.2456,1,0,0.0898,0,0.0155
0.331,0.0431,9.7191,1.2657,1,0,-0.0659,0,0.0176
0,0.6394,2.665,1.5135,0,0,1.6444,0,0.7071
0,0.5224,2.6992,0.7648,0,0,-0.0613,0,0.6119
0.0657,0.0053,9.3876,1.636,1,0,0.0465,0,0.201
0,0.0286,4.5856,1.4545,1,0,0.0044,0,0.2192
0.0346,0.1352,7.6334,1.9613,1,0,0.0588,0,0.0646
0.1029,0.1268,7.7512,1.7071,1,0,0.0789,0,0.0164
0.054,0.0341,6.2138,1.9808,1,0,0.1512,0,0.0318
0.1118,0.279,9.9082,5.1836,1,0,0.0548,0,0.2888
0.4601,0.264,9.8627,4.5135,1,0,0.0796,0,0.0897
0.223,0.0743,10.0108,3.6771,1,1,0.0734,0,0.0037
0,0.5899,4.2546,5.4564,0,0,0.25,0,0.6674
0.1156,0.639,4.5255,5.6408,0,0,0.2263,0,0.5245
0.0841,0.5985,5.0247,7.9161,0,0,0.219,0,0.5059
0.0396,0.6306,4.1138,6.6041,1,0,0.5364,0,0.0882
0.0085,0.3189,2.4289,0.9678,1,0,0.0776,0,0.2372
0.3346,0.317,3.5476,2.3864,1,0,0.0522,0,0.154
0.2815,0.0716,4.9899,0.8733,1,0,0.0161,0,0.1489
0.0264,0.2005,5.8543,4.0665,1,0,0.1661,0,0.1958
0.0422,0.2072,7.4272,5.7591,1,0,0.2127,0,0.2219
0.0265,0.0451,3.7362,2.745,0,0,0.1545,0,0.1623
0.1764,0.0802,4.1183,2.8791,0,0,0.3718,0,0.0263
0.0021,0.0499,7.2276,0.7416,0,0,0.1008,0,0.0028
0,0.0467,7.809,0.9102,1,0,0.1142,0,0.0204
0.0079,0.0224,7.7129,0.7188,1,0,0.1977,0,0.0267
0.239,0.1023,5.5775,1.4529,1,0,0.1319,0,0.0376
0.3076,0.106,4.1204,0.7775,1,0,0.1664,0,0.4988
0.3252,0.007,6.844,0.8712,1,1,0.0171,0,0.0017
0.3052,0.0329,6.9774,0.9757,1,0,-0.0043,0,0.0013
0.2004,0.0646,7.3626,1.3378,1,0,0.0542,0,0.0029
0.0441,0.1081,2.1345,0.5501,1,0,0.0032,0,0.2388
0.1493,0.1624,4.3732,2.3088,1,0,0.2698,0,0.1035
0.1689,0.0804,6.2238,1.2703,1,0,0.0224,0,0.0917
0.2321,0.0758,6.5364,1.2741,1,0,0.0735,0,0.153
0.1667,0.0065,5.3746,1.0385,0,0,-0.1719,0,0.0257
0.0007,0.1312,3.5483,1.7964,1,0,0.7522,0,0.0121
0,0.0154,3.5828,1.683,0,0,0.059,0,0.0326
0.5377,0.0926,2.7853,1.2822,0,0,-0.3233,0,0.3502
0.4909,0.0563,2.7439,1.0693,0,0,0.1368,0,0.2225
0.4017,0.073,3.347,1.6196,0,0,0.013,0,0.1938
0,0.0617,4.4069,1.1238,1,0,-0.0824,0,0.6333
0,0.0641,4.9152,1.7833,1,0,-0.0783,0,0.677
0.373,0.1173,8.5498,16.2844,1,0,0.0442,0,0.0188
0.2089,0.0649,9.0917,9.5471,1,0,0.1099,0,0.0335
0.2159,0.1106,9.1232,9.9243,1,0,0.0919,0,0.0396
0.0583,0.3199,5.3927,4.9591,1,0,0.7705,0,0.0924
0.1164,0.1297,11.0197,4.3972,1,0,-0.0166,0,0.0025
0.1198,0.1013,3.5815,2.6606,0,0,0.1762,0,0.0081
0.3574,0.1447,6.0293,3.4367,0,0,0.0209,0,0.007
0.4069,0.0478,7.1841,1.6098,1,0,0.0423,0,0.007
0.4021,0.0496,7.6331,1.2634,1,0,0.2388,0,0.0072
0.2828,0.0807,5.549,1.2582,1,0,0.0013,0,0.0233
0.1143,0.1055,6.5258,1.8791,1,0,-0.2206,0,0.2198
0.0495,0.107,6.2048,1.0377,1,0,0.0579,0,0.1977
0.0406,0.0661,6.2626,1.0672,1,0,-0.1807,0,0.2375
0.3243,0.1393,6.5737,4.114,1,0,0.094,0,0.0241
0.2669,0.1438,8.0057,3.7217,1,0,0.164,0,0.0246
0.0728,0.3984,9.6662,9.4365,1,0,0.1772,0,0.4317
0.2111,0.1372,11.0197,4.2,1,0,0.1479,0,0.1858
0,0.0355,2.1345,0.5893,1,0,0.108,0,0.0959
0.2279,0.1364,3.3962,2.3666,1,0,0.4107,0,0.1004
0.2088,0.0932,2.3309,0.7175,1,0,-0.0824,0,0.0877
0.0143,0.1593,8.7137,3.1318,1,0,0.0783,0,0.1591
0.0388,0.0973,9.0391,3.0203,1,0,0.0461,0,0.0537
0.1496,0.0874,10.287,2.0407,1,0,0.0281,0,0.061
0.3749,0.0425,5.0623,0.9464,1,0,0.1169,0,0.1228
0.0566,0.0405,4.7632,0.7807,1,0,-0.031,0,0.1178
0,0.0543,5.7971,2.349,1,0,0.2218,0,0.1471
0.2199,0.0357,3.7465,0.4627,1,0,0.1383,0,0.1082
0.0632,0.1163,4.7391,1.0835,0,0,0.7767,0,0.1566
0.0923,0.3738,5.9939,2.506,0,0,0.3813,0,0.1439
0.078,0.0162,7.9048,1.9416,0,0,0.0546,0,0.036
0.1505,0.0226,8.8226,2.1777,0,0,-0.1138,0,0.0308
0.275,0.3902,10.0547,10.0992,1,0,0.7772,0,0.5067
0,0.0767,9.7058,4.9915,1,0,0.199,0,0.5172
0,0.1245,9.4539,3.4562,1,0,-0.093,0,0.6415
0.0459,0.0878,5.2862,1.0715,1,0,0.0897,0,0.3939
0.0357,0.0621,5.8752,1.6813,1,0,0.1009,0,0.3792
0.0305,0.1056,6.1311,2.0154,1,0,0.1196,0,0.4053
0.0254,0.131,6.2449,2.0512,1,0,0.1491,0,0.402
0.0091,0.1775,6.4821,1.8327,1,0,0.5403,0,0.3899
0,0.3544,4.9339,4.3859,1,0,0.2327,0,0.2208
0,0.2515,7.2705,8.0039,1,0,0.3156,0,0.4539
0,0.0441,5.4397,1.4481,1,0,0.1103,0,0.3329
0,0.0599,5.0399,1.0238,1,0,0.0181,0,0.1847
0.1483,0.1389,6.4717,2.9449,1,0,-0.0253,0,0.0645
0.0911,0.2552,7.7766,6.7852,1,0,0.1218,0,0.0918
0.0465,0.1109,7.3013,2.4677,1,0,0.0298,0,0.1311
0.1193,0.0282,7.4923,1.1572,1,0,0.0666,0,0.0817
0.1868,0.0327,4.3836,0.4876,1,0,-0.0093,0,0.0622
0.185,0.0381,4.1507,0.7066,1,0,-0.0046,0,0.0303
0.2011,0.0275,4.2844,0.7643,1,0,0.0148,0,0.0125
0.3088,0.1323,9.7401,3.8306,1,0,-0.1421,0,0.0088
0.3723,0.1799,9.9725,5.3018,1,0,0.0168,0,0.0126
0.3861,0.1734,10.3945,8.3337,1,0,0.0407,0,0.012
0.5119,0.2317,10.5922,14.9256,1,0,0.0557,0,0.0141
0.3433,0.064,2.469,2.8828,0,0,-0.003,0,0.0038
0.2365,0.0713,3.5948,4.469,0,0,0.0521,0,0.0024
0.2901,0.0582,4.9046,1.6138,1,0,0.0859,0,0.009
0.2067,0.0846,5.941,1.8746,1,0,0.0733,0,0.0138
0.3728,0.0583,6.78,1.8519,1,0,0.2372,0,0.0214
0.3998,0.0176,7.7331,2.0907,1,0,0.3953,0,0.0051
0.0831,0.2081,9.9987,1.6801,1,0,0.0827,0,0.0058
0.2226,0.0682,5.439,1.8472,1,0,0.0993,0,0.008
0.2049,0.075,5.5775,1.9034,1,0,0.1515,0,0.0191
0.1689,0.0876,5.7644,1.8648,1,0,-0.0727,0,0.0375
0.1033,0.1387,6.0922,1.5545,1,0,0.1322,0,0.0218
0,0.2255,10.7092,5.9959,1,0,0.6827,0,0.7071
0,0.272,11.0197,4.8011,1,0,0.353,0,0.6189
0.1387,0.0892,7.0505,2.4327,1,0,0.1766,0,0.2608
0.1228,0.2953,8.3833,4.5261,1,0,0.5368,0,0.248
0.0871,0.2141,10.4449,7.9251,1,0,0.2023,0,0.4116
0.6881,0.0293,5.2761,0.1751,1,0,-0.3233,0,0.0237
0.3802,0.1263,7.1156,3.3915,1,0,0.2306,0,0.0211
0.0268,0.0819,3.4104,1.0547,0,0,-0.0415,0,0.0415
0.1917,0.1081,9.2045,1.6179,1,0,0.0507,0,0.1297
0.2065,0.0617,9.4323,2.0637,1,0,0.0405,0,0.0641
0.2275,0.0303,9.106,1.4437,1,0,-0.1133,0,0.0644
0.1931,0.0418,9.2983,1.4185,1,0,0.1773,0,0.0729
0.1904,0.0998,10.2061,2.76,1,0,0.0181,0,0.1097
0.247,0.0684,9.7519,1.2732,1,0,-0.0089,0,0.1262
0.0681,0.0616,4.4099,1.2181,1,0,0.0436,0,0.5563
0.0684,0.194,4.9656,2.4572,1,0,0.0807,0,0.3562
0.057,0.1874,5.0019,1.9244,1,0,0.1105,0,0.2939
0.0258,0.1865,5.3355,2.4381,1,0,0.0886,0,0.2794
0.0109,0.2008,5.5684,2.2785,1,0,0.2201,0,0.5639
0.0123,0.249,5.9872,7.7851,0,0,-0.014,0,0.1918
0.25,0.0861,5.6638,2.5363,1,1,0.0853,0,0.0132
0.0977,0.1013,5.703,1.4842,1,0,0.0521,0,0.0155
0.1919,0.1764,5.9112,1.2635,1,0,0.0685,0,0.0461
0.0018,0.1807,7.034,2.4222,1,0,0.1233,0,0.0879
0.0016,0.2126,7.0108,2.0007,1,0,0.0842,0,0.1386
0.4337,0.0038,6.9462,1.7827,1,1,-0.0128,0,0.0064
0.3971,0.023,6.4901,1.1213,1,0,-0.0502,0,0.005
0.0182,0.184,6.1377,2.3699,1,0,0.0918,0,0.0515
0.3781,0.0101,7.7575,1.5538,1,0,0.1744,0,0.1148
0.1884,0.07,8.2543,1.62,1,0,0.0487,0,0.0961
0.1465,0.0857,8.259,1.2889,1,0,0.2161,0,0.0506
0.241,0.0814,6.9129,1.7831,1,0,0.0637,0,0.065
0.2614,0.0058,7.6667,1.5683,1,0,0.1837,0,0.0074
0.2454,0.0445,7.8415,1.6726,1,0,0.0867,0,0.0106
0.2805,0.0752,7.7656,1.2001,1,0,0.1652,0,0.0099
0.0106,0.0311,8.3601,1.3803,1,0,-0.2233,0,0.3291
0.006,0.0694,3.7049,1.1058,1,0,0.0053,0,0.3153
0.0004,0.0142,3.2706,0.7812,1,0,-0.05,0,0.3078
0.0016,0.0299,3.3185,0.8314,1,0,0.0964,0,0.2478
0,0.0658,3.9117,1.3014,1,0,0.0035,0,0.2973
0.4972,0.0271,2.3246,1.2506,1,0,-0.0705,0,0.1625
0.2942,0.0802,2.1706,0.848,1,0,0.0412,0,0.148
0.3804,0.1236,2.5917,1.1387,1,0,0.144,0,0.0251
0.1807,0.1306,3.2129,1.6743,1,0,0.3447,0,0.0378
0.1947,0.0903,3.9931,1.2628,1,0,-0.3233,0,0.1147
0,0.0204,3.0399,0.609,0,0,-0.0818,0,0.4926
0.2286,0.0601,6.8196,1.9394,0,0,0.0319,0,0.0009
0.3375,0.0649,6.6574,1.5016,0,0,0.0617,0,0.002
0.3311,0.0289,6.9667,1.9034,1,0,-0.1141,0,0.0022
0.3475,0.0603,6.8329,1.4027,1,0,-0.2017,0,0.0167
0.3162,0.0739,7.0034,1.6389,1,0,0.7275,0,0.0008
0.3063,0.0694,7.096,1.5243,1,0,0.0499,0,0.0275
0.2567,0.0779,9.8112,2.7137,1,0,0.0274,0,0.1202
0.2967,0.0261,9.7312,2.7481,1,0,-0.0179,0,0.1568
0.1468,0.1223,6.3565,2.6408,1,0,-0.1033,0,0.063
0.1695,0.1313,5.8851,1.4523,1,0,0.0968,0,0.0357
0.1441,0.0799,5.8494,1.7213,1,0,0.1619,0,0.0269
0.0356,0.1121,3.7398,1.7955,0,0,0.2383,0,0.1247
0.0985,0.0393,3.8403,3.0844,0,0,0.4475,0,0.092
0,0.2601,7.6458,4.5453,1,0,0.1705,0,0.4495
0,0.1596,7.6097,4.3892,1,0,0.1416,0,0.3211
0.1536,0.2183,8.6981,4.6204,1,0,0.0953,0,0.1906
0.1425,0.1782,8.8208,4.5326,1,0,0.1457,0,0.1509
0.1051,0.1985,9.3155,4.7981,1,0,0.2325,0,0.1657
0.0371,0.2017,9.9995,6.463,1,0,0.1668,0,0.1734
0.0036,0.0754,10.11,4.5386,1,0,0.0851,0,0.0535
0.0027,0.0794,10.1003,4.2102,1,0,0.096,0,0.0605
0.133,0.0601,4.4882,8.7967,1,0,0.0558,0,0.2038
0.1823,0.4131,6.496,1.3109,1,0,0.6469,0,0.2761
0.2587,0.0928,5.1471,3.1881,0,0,0.1953,0,0.0138
0.182,0.1378,8.2067,4.4055,1,0,0.0349,0,0.0019
0.2382,0.1542,8.8814,8.8863,1,0,0.0891,0,0.0027
0.172,0.0834,8.6147,3.6457,1,0,0.0248,0,0.0234
0.1194,0.0747,5.0614,0.6903,1,0,0.587,0,0.0077
0.0556,0.2351,8.5363,16.2844,1,0,0.0529,0,0.0738
0.045,0.2407,8.9984,16.2844,1,0,0.0551,0,0.0624
0.0826,0.2006,9.3602,16.2844,1,0,0.0262,1,0.0434
0.3942,0.2755,9.3415,0.1751,1,0,0.0742,0,0.0436
0.257,0.0766,3.1946,1.1414,1,0,0.0924,0,0.0047
0.2233,0.1046,3.2163,1.0766,1,0,0.1026,0,0.0098
0.347,0.1347,3.6652,1.453,1,0,0.0721,0,0.0137
0.2826,0.0945,4.1015,0.953,1,0,0.1991,0,0.0148
0.2819,0.3461,5.5045,1.3136,0,0,0.2879,0,0.1341
0,0.3744,4.8558,8.7364,1,0,0.1967,0,0.5757
0,0.1305,4.5305,2.4943,1,0,0.3125,0,0.1252
0.0714,0.2874,6.7598,5.9851,1,0,0.0984,0,0.0109
0.1115,0.1615,4.6113,2.3395,1,0,0.0491,0,0.0364
0.0602,0.1041,4.3008,1.7027,1,0,-0.0297,0,0.0429
0,0.2167,6.3906,4.1272,1,0,-0.1045,0,0.0698
0.235,0.0334,3.8182,0.8384,1,0,-0.0107,0,0.0067
0.2521,0.0684,7.9718,1.9147,1,0,0.053,0,0.0022
0.252,0.1026,9.4136,3.6823,1,0,0.0284,0,0.0068
0.1798,0.0513,9.2759,3.1868,1,0,0.0543,0,0.0156
0.1085,0.2592,10.1495,4.0565,1,0,0.1552,0,0.107
0.156,0.0515,9.4438,1.7339,1,0,-0.1854,0,0.1394
0.1877,0.1386,2.9296,3.1574,0,0,0.2853,0,0.0032
0.1798,0.2663,4.7541,3.4884,1,0,0.3046,0,0.0325
0,0.2542,5.7158,4.0287,0,0,0.2143,0,0.0562
0.2157,0.0764,6.5637,2.7007,1,0,-0.1027,0,0.0363
0.2074,0.1097,6.8151,3.2139,1,0,0.1546,0,0.0886
0,0.0487,5.6741,1.0226,1,0,0.0412,0,0.0379
0.1752,0.0501,6.9745,1.7488,1,0,0.0934,0,0.0122
0.3434,0.1071,8.5084,4.5612,1,0,0.0931,0,0.0444
0,0.3418,6.0828,4.036,1,0,0.2474,0,0.4042
0.3124,0.0623,8.3439,1.4948,1,0,0.0546,0,0.0086
0.3226,0.0574,8.2815,1.3825,1,0,0.0744,0,0.0158
0.1937,0.0518,9.4281,2.6972,1,0,0.1257,0,0.105
0.021,0.019,9.2177,1.3771,0,0,0.0872,0,0.0571
0.1276,0.0177,10.6583,1.896,0,0,-0.0961,0,0.1326
0.0805,0.0154,7.3019,1.4065,0,0,0.108,0,0.1041
0.0419,0.0125,7.25,1.0821,0,0,0.0091,0,0.0607
0.0289,0.0177,7.5575,1.8853,0,0,-0.3233,0,0.1176
0.0248,0.0287,7.9333,3.4224,0,0,0.0109,0,0.0257
0.0616,0.0206,7.723,2.5221,1,0,-0.0556,0,0.0447
0.183,0.1173,5.4767,1.8636,1,0,0.0584,0,0.0458
0.048,0.0219,4.6358,1.4223,0,0,0.2678,0,0.0484
0.1399,0.1376,6.7263,1.759,1,0,-0.0164,0,0.1307
0.0477,0.0931,6.5758,1.4673,1,0,-0.0313,0,0.2157
0.0076,0.1004,6.7206,1.4831,1,0,0.0708,0,0.2082
0.3486,0.0578,4.686,1.3185,1,0,0.2067,0,0.0052
0.5089,0.0159,4.4305,0.8138,1,0,0.0621,0,0.0025
0.1006,0.0239,9.1943,2.2235,0,0,0.1691,0,0.1246
0.107,0.0236,9.5242,3.1596,0,0,0.0786,0,0.1099
0.0349,0.0217,8.5821,1.4123,0,0,0.06,0,0.1057
0.0363,0.0263,8.5981,1.2978,0,0,0.1193,0,0.1415
0.1385,0.0911,6.6714,1.7423,1,0,-0.0627,0,0.1923
0.0688,0.119,7.022,2.0839,1,0,0.0738,0,0.147
0.1482,0.363,7.8435,4.4911,1,0,-0.0402,0,0.0393
0.1406,0.1605,7.8978,4.6865,1,0,-0.1101,0,0.0851
0.0895,0.1575,8.3441,4.0213,1,0,0.1251,0,0.2505
0.0515,0.2519,8.9189,3.4062,1,0,0.0338,0,0.232
0.1217,0.134,6.3634,3.0752,1,0,0.0133,0,0.1021
0.3611,0.0941,5.9131,1.8369,1,0,0.1891,0,0.0366
0.3462,0.1878,3.2236,2.5678,1,0,0.2205,0,0.168
0.3857,0.0345,3.1901,2.3443,1,0,-0.2571,0,0.1034
0.3606,0.0732,3.0901,1.9274,1,0,-0.0464,0,0.1154
0.1562,0.2718,4.1261,2.1249,1,0,0.6223,0,0.0904
0,0.1045,4.9346,2.0387,1,0,0.7606,0,0.3876
0.1752,0.117,4.0635,1.8479,1,0,-0.0064,0,0.0267
0.2137,0.1079,4.1217,1.5021,1,0,0.1537,0,0.0307
0.0043,0.2988,4.8095,3.3873,1,0,0.0016,0,0.2866
0,0.0177,2.6175,1.09,0,0,0.2201,0,0.2302
0.1482,0.1484,8.0832,3.6069,1,0,0.1243,1,0.2224
0.1178,0.036,7.6001,2.1855,1,0,-0.0116,0,0.0946
0.0749,0.0862,7.7215,2.4279,1,0,0.0445,0,0.0763
0.3026,0.0689,9.5557,5.393,1,0,0.1287,0,0.0534
0.307,0.0631,9.8209,6.4863,1,0,0.0751,0,0.0703
0.1897,0.1021,10.0659,5.4728,1,0,0.0358,0,0.0661
